threshold	or	or_l95	or_u95	p	sim_obs	sim_not	dis_obs	dis_not	n_rows
0.05	1.1640546496669186	0.9351745666829878	1.4347371914763758	0.15645699328732351	97	1227	6143	90454	97921
0.1	1.2177987688955356	0.9815979168688246	1.4965939914905289	0.06825658619554235	100	1238	6283	94725	102346
0.15	1.2185807702074958	0.9822294705740424	1.4975529087991462	0.06036123470245484	100	1238	6285	94816	102439
0.2	1.6845339744479932	1.420818325506105	1.9849531027206093	5.941031068141118e-9	155	2242	13293	323899	339589
0.25	1.8968047804636634	1.7056163018167125	2.104694679042755	9.531213237911433e-29	399	3897	28643	530624	563563
0.3	1.9115468750807363	1.7265941752385843	2.1117656348182496	6.457283089646885e-32	436	4089	30347	544029	578901
0.35	1.9136901726446545	1.7333305076024046	2.1088350958744013	1.4096003347596636e-33	460	4284	32040	571014	607798
0.4	1.8868397521677933	1.7135289614476652	2.0737030435663435	4.205583939408187e-34	486	4489	34728	605220	644923
0.45	1.8886137990758498	1.7255356782055966	2.063588703922786	1.5156347444061638e-38	554	4893	38323	639224	682994
0.5	1.8838666037316212	1.7261814365616028	2.0527698923520497	8.417062532956161e-41	592	5107	40592	659657	705948
0.55	1.9117003378134727	1.7567004644381632	2.0774721949609973	3.122176459775819e-45	633	5356	41721	674840	722550
0.6	1.892639875211648	1.7419002780329724	2.053560951734141	1.3849704830583516e-45	657	5567	42646	683892	732762
0.65	1.8860173537005753	1.7372365418442708	2.0446662436036016	4.953561306154637e-46	671	5667	43197	688040	737575
0.7	1.884666895967258	1.7373336342389365	2.041672015194018	8.304551614918985e-47	684	5746	43659	691196	741285
0.75	1.9181695846409073	1.7707106323363873	2.0752758008265606	1.0854537652423821e-50	709	5837	43913	693448	743907
0.8	1.972077139120399	1.8231113796435812	2.130717824739473	1.354952058240553e-56	737	5888	44141	695446	746212
0.85	1.9797924536740004	1.8311913244282343	2.137984805993091	6.996326521104814e-58	747	5935	44292	696695	747669
0.9	1.9774520517894898	1.8297644274671068	2.134606130977896	2.6155200133939148e-58	755	5999	44386	697399	748539
0.95	1.9737964633356646	1.82675138157665	2.1302359079127973	2.7474169252399984e-58	759	6036	44447	697669	748911
1	1.9740682390463336	1.8271014027462853	2.1304247871398823	2.1284088944304328e-58	760	6043	44454	697765	749022
